INFO:2022-12-05 01:01:04:flag punishment activated! All rewards will be rectified!
INFO:2022-12-05 01:01:41:epsilon is 0.3, episode is 0
INFO:2022-12-05 01:18:06:running reward: -23641.00 at episode 3, frame count 9200, epsilon 0.018862122071335176
INFO:2022-12-05 01:18:18:running reward: -23641.00 at episode 3, frame count 9300, epsilon 0.006833538873292304
INFO:2022-12-05 01:18:29:running reward: -23641.00 at episode 3, frame count 9400, epsilon 0.0024757157946593404
INFO:2022-12-05 01:18:40:running reward: -23641.00 at episode 3, frame count 9500, epsilon 0.09300449458481394
INFO:2022-12-05 01:18:53:running reward: -23641.00 at episode 3, frame count 9600, epsilon 0.0336945030221216
INFO:2022-12-05 01:19:05:running reward: -23641.00 at episode 3, frame count 9700, epsilon 0.012207146966133196
INFO:2022-12-05 01:19:16:running reward: -23641.00 at episode 3, frame count 9800, epsilon 0.004422514763163049
INFO:2022-12-05 01:19:26:running reward: -23641.00 at episode 3, frame count 9900, epsilon 0.0016022283408774788
INFO:2022-12-05 01:19:36:running reward: -23641.00 at episode 3, frame count 10000, epsilon 0.06019044567806663
INFO:2022-12-05 01:19:48:running reward: -23641.00 at episode 3, frame count 10100, epsilon 0.02180633487506329
INFO:2022-12-05 01:19:58:running reward: -23641.00 at episode 3, frame count 10200, epsilon 0.007900194712408964
INFO:2022-12-05 01:20:09:running reward: -23641.00 at episode 3, frame count 10300, epsilon 0.0028621534453892733
INFO:2022-12-05 01:20:19:running reward: -23641.00 at episode 3, frame count 10400, epsilon 0.001036926638287344
INFO:2022-12-05 01:20:31:running reward: -23641.00 at episode 3, frame count 10500, epsilon 0.03895392117442729
INFO:2022-12-05 01:20:44:running reward: -23641.00 at episode 3, frame count 10600, epsilon 0.014112576178114535
INFO:2022-12-05 01:20:55:running reward: -23641.00 at episode 3, frame count 10700, epsilon 0.005112830759482943
INFO:2022-12-05 01:21:09:running reward: -23641.00 at episode 3, frame count 10800, epsilon 0.0018523222156741205
INFO:2022-12-05 01:21:21:running reward: -23641.00 at episode 3, frame count 10900, epsilon 0.0695856494710045
INFO:2022-12-05 01:21:33:running reward: -23641.00 at episode 3, frame count 11000, epsilon 0.025210113627991238
INFO:2022-12-05 01:21:44:running reward: -23641.00 at episode 3, frame count 11100, epsilon 0.009133346228248625
INFO:2022-12-05 01:21:56:running reward: -23641.00 at episode 3, frame count 11196, epsilon 0.0028621534453892733
INFO:2022-12-05 01:21:56:time per episode 251.7389 seconds
INFO:2022-12-05 01:21:56:epsilon is 0.0028621534453892733, episode is 4
INFO:2022-12-05 01:21:56:running reward: -22358.00 at episode 4, frame count 11200, epsilon 0.0011149209970080917
INFO:2022-12-05 01:22:08:running reward: -22358.00 at episode 4, frame count 11300, epsilon 0.04188391254457482
INFO:2022-12-05 01:22:20:running reward: -22358.00 at episode 4, frame count 11400, epsilon 0.015174079748634946
INFO:2022-12-05 01:22:32:running reward: -22358.00 at episode 4, frame count 11500, epsilon 0.005497401800103737
INFO:2022-12-05 01:22:43:running reward: -22358.00 at episode 4, frame count 11600, epsilon 0.0019916480638308568
INFO:2022-12-05 01:22:55:running reward: -22358.00 at episode 4, frame count 11700, epsilon 0.07481966305138833
INFO:2022-12-05 01:23:07:running reward: -22358.00 at episode 4, frame count 11800, epsilon 0.027106339043648356
INFO:2022-12-05 01:23:16:running reward: -22358.00 at episode 4, frame count 11900, epsilon 0.009820327790631259
INFO:2022-12-05 01:23:28:running reward: -22358.00 at episode 4, frame count 12000, epsilon 0.003557796490339496
INFO:2022-12-05 01:23:40:running reward: -22358.00 at episode 4, frame count 12100, epsilon 0.001288950444072538
INFO:2022-12-05 01:23:52:running reward: -22358.00 at episode 4, frame count 12200, epsilon 0.04842162612301505
INFO:2022-12-05 01:24:03:running reward: -22358.00 at episode 4, frame count 12300, epsilon 0.017542621300415916
INFO:2022-12-05 01:24:13:running reward: -22358.00 at episode 4, frame count 12400, epsilon 0.006355498291362296
INFO:2022-12-05 01:24:24:running reward: -22358.00 at episode 4, frame count 12500, epsilon 0.0023025269621793293
INFO:2022-12-05 01:24:34:running reward: -22358.00 at episode 4, frame count 12600, epsilon 0.08649836012976679
INFO:2022-12-05 01:24:45:running reward: -22358.00 at episode 4, frame count 12700, epsilon 0.03133740223858905
INFO:2022-12-05 01:24:56:running reward: -22358.00 at episode 4, frame count 12800, epsilon 0.011353195339077615
INFO:2022-12-05 01:25:08:running reward: -22358.00 at episode 4, frame count 12900, epsilon 0.004113137503418574
INFO:2022-12-05 01:25:19:running reward: -22358.00 at episode 4, frame count 13000, epsilon 0.0014901443705277473
INFO:2022-12-05 01:25:30:running reward: -22358.00 at episode 4, frame count 13100, epsilon 0.05597981979123285
INFO:2022-12-05 01:25:42:running reward: -22358.00 at episode 4, frame count 13200, epsilon 0.020280871538024617
INFO:2022-12-05 01:25:54:running reward: -22358.00 at episode 4, frame count 13300, epsilon 0.007347536163492152
INFO:2022-12-05 01:26:01:running reward: -22358.00 at episode 4, frame count 13350, epsilon 0.04503428864545839
INFO:2022-12-05 01:26:01:time per episode 244.7857 seconds
INFO:2022-12-05 01:26:01:epsilon is 0.04503428864545839, episode is 5
INFO:2022-12-05 01:26:07:running reward: -21544.60 at episode 5, frame count 13400, epsilon 0.005910899064227988
INFO:2022-12-05 01:26:20:running reward: -21544.60 at episode 5, frame count 13500, epsilon 0.002141453563853955
